date,longitude-170,longitude-160,longitude-150,longitude-140,longitude-130,longitude-120,longitude-110,longitude-100,longitude-90,longitude-80,longitude-70,longitude-60,longitude-50,longitude-40,longitude-30,longitude-20,longitude-10,longitude0,longitude10,longitude20,longitude30,longitude40,longitude50,longitude60,longitude70,longitude80,longitude90,longitude100,longitude110,longitude120,longitude130,longitude140,longitude150,longitude160,longitude170,longitude180
2024-02-19,711425118310.849,54585559284.236984,1050488738.328293,1584893192.4611173,3468779203.45032,1876165502.3443134,63429355412.547226,130800681871.14056,347317374239.77875,1140199355572.908,3368226485552.1025,86097239952.03989,0.0,0.0,0.0,1122053935640.8887,37708118.43303751,316491342.1400987,148626571.26571518,54189641214.572,103375823983.17117,37704127216.6814,31782381.856751565,3169786384.9222345,0.0,1796480916486.611,117782794100.38922,35481338923.357605,86103918219.54707,95486483328.07266,1050461099122.9644,0.0,631483247986.0616,1157499793225.323,426380048245.2488,40426971708.689026
2024-02-18,9542149049591.426,0.0,4931322240.721552,1122018454301.9653,20065720664.24261,2666254990.006104,293821084223.53894,479385519372.7118,259880923236.35397,21086325515.019886,108494371407.14893,160133664867.74716,35481338923.357605,0.0,70794578438.41373,563997012961.2487,6309573444.801943,27890444647.861702,5344026.889011823,741638794.6155545,1639649130.0407746,4668726278.68557,6086319829.390819,28281141975.264202,894328234724.2821,200562341325.19037,4466835921.509635,46541082822.34655,35481338923.357605,19878293284.387234,572123046690.2429,371926636530.0287,312111722303.46155,0.0,25118864315.09582,458432690857.7897
2024-02-17,709348887245.838,0.0,10727690723.73709,299526231.4968883,2906437878.2599707,393226435.52573186,81677176332.18929,44438678974.65012,579626322750.2865,355800014300.92413,100293294451.48361,111739440769.53256,0.0,141253754462.27554,0.0,170794578438.41373,6309573.444801942,714618952.2306325,2309515.717006756,36119242725.41373,20773453775.194317,15820796834.997465,29585700.236605458,0.0,0.0,2706911646.7630825,0.0,319558353188.372,562341325.1903491,75856266522.03558,521806645391.59827,44393848304.69508,775724919153.5813,17782794100.38923,35481338923.357605,582509040801.82
2024-02-16,141253754462.27554,0.0,5568418536.935436,794328234.7242821,0.0,3623970947.9286838,19821751701.92072,37972032742.989395,290529035119.68164,130496269502.12076,698533854203.6476,52114149382.52841,0.0,0.0,0.0,1101285392.165824,282427371979.78046,1741513740.0553734,1049923379.6724848,4648241655.401209,8709287752.043802,103836473710.0425,1862801614.5290287,0.0,1122018454.3019652,499450570164.33,17782794100.38923,70794578438.41373,23722281351.94182,0.0,687004594492.275,903121311149.513,2308502435352.814,135481338923.3576,1937526064025.9773,147593210552.2079
2024-02-15,1417745642070.6997,0.0,1890962057.0216815,141253754.46227553,562341325.1903491,235007570.4202459,1255576183270.7725,56665701129.82979,266081014196.9702,20395217843.018234,2672392802888.3447,119088273342.74893,0.0,0.0,0.0,262237850841.85504,159150238.0115291,205639528.66781628,620038776.5931138,15424573962.01419,10364761056.898418,2688473074.783282,163400271765.67825,6309573444.801943,0.0,936704007640.8596,398107170.5534969,795802508422.6863,153416900657.98572,205115085872.6999,783942264999.9983,1296516698935.8477,254949991316.17432,612460048553.0764,809904653097.4266,49655486233.76039
2024-02-14,1404861365641.0686,0.0,301144836109.0592,340779985.9591638,1585687520695.8418,200356451.992919,57307437953.32065,58523865582.86477,279343340922.9502,40781782274.9721,25176562986574.01,56391420943.28053,0.0,0.0,0.0,10895545225691.014,0.0,398324667251.13007,1809316851.2048335,7433987693.206233,4797421591.708518,53840143505.74731,3170825954.7517495,50118723362.72735,225439424046.70837,135950240672.34952,6309573444.801943,13478643788.934267,15027501488.006887,14344030848.40979,1554829040977.7537,28230728515736.254,112589254117.94167,159036548562.66476,141253754462.27554,12628559071196.049
2024-02-13,199526231496.88828,199526231496.88828,7402854115.117258,562341325.1903491,2906378233.7942796,7339145569.554827,101330938259.33354,42774294670.30983,465197351945.2482,5304860332.7067175,215047723005.22037,157721697849.79517,0.0,0.0,0.0,199526231.49688828,562341325190.3491,2176295403.6058617,36631320.69053306,368013922.2502545,31666011019.170326,1184033065.0100229,20092309817.39598,8912509381.337477,101584893192.46112,3162277660.1683793,4466835921.509635,937468095.5692694,0.0,423848787134.95825,1872456887449.2305,145720590383.7852,0.0,1122018454301.9653,1122018454.3019652,233376834001.3992
2024-02-12,1015111608377.5009,0.0,56755654228.88376,0.0,398107170.5534969,4466835921.509635,753979028094.5569,41014141307.15729,792606297236.7695,160875186608.68735,167220444985.2,115523413394.77087,0.0,0.0,6705557060077.973,208770697894.7149,101208851.31903036,106309573.44480194,4948325864.09781,638628138.6412408,6505531889.175896,1851155922.8960464,61147391.083024725,1122018454.3019652,141253754462.27554,137207485870.281,0.0,1124682650.3806982,15645174873.728142,796264459830.3567,4052860266925.37,796575868372.2318,25567090209012.043,199526231496.88828,3162277660168.392,152404984982.18134
2024-02-11,1177171146063.3853,398107170.5534969,3181502630.116067,398107170.5534969,31428437759.897766,212048332.90068927,279160812187.1346,31936597368.28001,282671456138.20264,8249164199.962076,3534278673575.026,59876947318.08121,0.0,199526231496.88828,281838293.12644607,281838293.12644607,1139801248.4023545,421371704.2343828,2596694141.032997,3111295096.488524,55998574030.51526,2913572028.761867,101979203299.68864,1122018454.3019652,0.0,767486603213.5321,0.0,901157093187.6652,25314399040.076405,14172965860.003935,812614595020.8102,362334710288.44604,201359465179.75668,53264133023.74683,0.0,794328234.7242821
2024-02-10,220913301801.14108,6309573444.801943,5398159680.30401,1866731485.5875633,3162277660.1683793,37846035642.12746,689491915396.1624,71662434858.6668,114474642573.42624,151925574615.2395,234106145416.2289,34380881054.81789,0.0,0.0,562341325190.3491,0.0,407019679.93483436,418662505.7850866,6335372254.580718,44080795437.05054,5123794294.069123,16467993359.585197,112758789014.37921,0.0,35481338923.357605,562341325190.3491,398107170553.49695,13010369030.692415,30372048218.33089,21463470922.567394,14943343814666.414,75412521004.16747,1030843533264.9877,0.0,305672816340.806,152825635009.49045
