Date,X,Y,UT1-UTC,X_Variation,Y_Variation,Delta_T,X+Y_Variation
2024-02-13,44.86,240.61,0.129,-1.3299999999999983,1.8700000000000045,-1.131,3.200000000000003
2024-02-12,46.19,238.74,1.26,-0.7100000000000009,1.210000000000008,-1.038,1.9200000000000088
2024-02-11,46.9,237.53,2.298,-1.1799999999999997,2.430000000000007,-0.7010000000000001,3.6100000000000065
2024-02-10,48.08,235.1,2.999,-1.7000000000000028,1.9899999999999807,-0.3899999999999997,3.6899999999999835
2024-02-09,49.78,233.11,3.389,-1.5700000000000003,2.130000000000024,-0.039000000000000146,3.700000000000024
2024-02-08,51.35,230.98,3.428,-0.740000000000002,1.579999999999984,0.05799999999999983,2.319999999999986
2024-02-07,52.09,229.4,3.37,-1.7199999999999989,1.4699999999999989,0.17500000000000027,3.1899999999999977
2024-02-06,53.81,227.93,3.195,-1.8999999999999986,2.0,0.07299999999999995,3.8999999999999986
2024-02-05,55.71,225.93,3.122,-1.6999999999999957,1.4000000000000057,0.03699999999999992,3.1000000000000014
2024-02-04,57.41,224.53,3.085,-2.8600000000000065,1.9300000000000068,-0.16800000000000015,4.790000000000013
2024-02-03,60.27,222.6,3.253,-2.469999999999999,2.079999999999984,-0.383,4.549999999999983
2024-02-02,62.74,220.52,3.636,-2.9100000000000037,1.6000000000000227,-0.5579999999999998,4.510000000000026
2024-02-01,65.65,218.92,4.194,-2.489999999999995,0.6199999999999761,-0.5819999999999999,3.109999999999971
2024-01-31,68.14,218.3,4.776,-2.8700000000000045,0.45000000000001705,-0.6440000000000001,3.3200000000000216
2024-01-30,71.01,217.85,5.42,-2.4099999999999966,0.19999999999998863,-0.556,2.609999999999985
2024-01-29,73.42,217.65,5.976,-2.6899999999999977,0.4900000000000091,-0.44399999999999995,3.180000000000007
2024-01-28,76.11,217.16,6.42,-2.969999999999999,0.789999999999992,-0.2400000000000002,3.759999999999991
2024-01-27,79.08,216.37,6.66,-2.719999999999999,0.7700000000000102,-0.08099999999999952,3.490000000000009
2024-01-26,81.8,215.6,6.741,-2.980000000000004,0.25,0.133,3.230000000000004
2024-01-25,84.78,215.35,6.608,-3.700000000000003,0.04999999999998295,0.21499999999999986,3.749999999999986
2024-01-24,88.48,215.3,6.393,-3.530000000000001,-0.01999999999998181,0.24599999999999955,3.549999999999983
2024-01-23,92.01,215.32,6.147,-3.5999999999999943,0.539999999999992,0.3020000000000005,4.139999999999986
2024-01-22,95.61,214.78,5.845,-5.890000000000001,0.3900000000000148,0.133,6.280000000000015
2024-01-21,101.5,214.39,5.712,-1.5300000000000011,0.4899999999999807,0.2789999999999999,2.019999999999982
2024-01-20,103.03,213.9,5.433,-2.480000000000004,1.0999999999999943,-0.08000000000000007,3.5799999999999983
2024-01-19,105.51,212.8,5.513,-2.3900000000000006,0.960000000000008,-0.35599999999999987,3.3500000000000085
2024-01-18,107.9,211.84,5.869,-1.9099999999999966,1.3199999999999932,-0.5940000000000003,3.2299999999999898
2024-01-17,109.81,210.52,6.463,-1.1799999999999926,0.6200000000000045,-0.5990000000000002,1.7999999999999972
2024-01-16,110.99,209.9,7.062,-1.3500000000000085,0.9800000000000182,-0.5909999999999993,2.3300000000000267
2024-01-15,112.34,208.92,7.653,-0.8400000000000034,1.259999999999991,-0.40800000000000036,2.0999999999999943
2024-01-14,113.18,207.66,8.061,-0.8799999999999955,0.6099999999999852,-0.07600000000000051,1.4899999999999807
2024-01-13,114.06,207.05,8.137,-1.7399999999999949,0.2600000000000193,0.13100000000000023,2.000000000000014
2024-01-12,115.8,206.79,8.006,-1.5300000000000011,0.45999999999997954,0.2839999999999998,1.9899999999999807
2024-01-11,117.33,206.33,7.722,-1.7900000000000063,0.010000000000019327,0.40200000000000014,1.8000000000000256
2024-01-10,119.12,206.32,7.32,-1.9499999999999886,-0.5600000000000023,0.37400000000000055,2.509999999999991
2024-01-09,121.07,206.88,6.946,-2.1100000000000136,0.22999999999998977,0.21499999999999986,2.3400000000000034
2024-01-08,123.18,206.65,6.731,-2.4599999999999937,0.15000000000000568,0.01499999999999968,2.6099999999999994
2024-01-07,125.64,206.5,6.716,-2.510000000000005,0.09999999999999432,-0.08300000000000018,2.6099999999999994
2024-01-06,128.15,206.4,6.799,-1.9699999999999989,1.2600000000000193,-0.391,3.230000000000018
2024-01-05,130.12,205.14,7.19,-1.25,1.1499999999999773,-0.4469999999999992,2.3999999999999773
2024-01-04,131.37,203.99,7.637,-1.6399999999999864,0.9399999999999977,-0.44399999999999995,2.579999999999984
2024-01-03,133.01,203.05,8.081,-1.7600000000000193,0.36000000000001364,-0.2740000000000009,2.120000000000033
2024-01-02,134.77,202.69,8.355,-2.0900000000000034,0.4199999999999875,-0.2699999999999996,2.509999999999991
2024-01-01,136.86,202.27,8.625,-1.9699999999999989,0.21999999999999886,-0.23900000000000077,2.1899999999999977
2023-12-31,138.83,202.05,8.864,-2.059999999999974,0.6200000000000045,-0.03599999999999959,2.6799999999999784
2023-12-30,140.89,201.43,8.9,-2.280000000000001,-0.07999999999998408,0.24300000000000033,2.359999999999985
2023-12-29,143.17,201.51,8.657,-2.670000000000016,0.09000000000000341,0.1490000000000009,2.7600000000000193
2023-12-28,145.84,201.42,8.508,-2.9499999999999886,-0.5700000000000216,0.16499999999999915,3.5200000000000102
2023-12-27,148.79,201.99,8.343,-3.3200000000000216,0.0800000000000125,0.058999999999999275,3.400000000000034
2023-12-26,152.11,201.91,8.284,-3.119999999999976,0.25,0.05900000000000105,3.369999999999976
2023-12-25,155.23,201.66,8.225,-2.3100000000000023,0.2400000000000091,-0.15500000000000114,2.5500000000000114
2023-12-24,157.54,201.42,8.38,-2.5900000000000034,0.6299999999999955,-0.38399999999999856,3.219999999999999
2023-12-23,160.13,200.79,8.764,-2.4000000000000057,0.37999999999999545,-0.5440000000000005,2.780000000000001
2023-12-22,162.53,200.41,9.308,-2.1299999999999955,-0.009999999999990905,-0.7840000000000007,2.1399999999999864
2023-12-21,164.66,200.42,10.092,-2.450000000000017,-0.040000000000020464,-0.8940000000000001,2.4900000000000375
2023-12-20,167.11,200.46,10.986,-3.3799999999999955,-0.7599999999999909,-0.6989999999999998,4.139999999999986
2023-12-19,170.49,201.22,11.685,-3.8999999999999773,-1.1400000000000148,-0.5540000000000003,5.039999999999992
2023-12-18,174.39,202.36,12.239,-3.5900000000000034,-1.1499999999999773,-0.3409999999999993,4.739999999999981
2023-12-17,177.98,203.51,12.58,-4.110000000000014,-1.4000000000000057,-0.05400000000000027,5.510000000000019
2023-12-16,182.09,204.91,12.634,-3.609999999999985,-0.950000000000017,0.31700000000000017,4.560000000000002
2023-12-15,185.7,205.86,12.317,-3.950000000000017,-1.1599999999999966,0.3550000000000004,5.110000000000014
2023-12-14,189.65,207.02,11.962,-3.8700000000000045,-0.6599999999999966,0.3070000000000004,4.530000000000001
2023-12-13,193.52,207.68,11.655,-3.4199999999999875,-0.549999999999983,0.2909999999999986,3.9699999999999704
2023-12-12,196.94,208.23,11.364,-3.1100000000000136,-1.210000000000008,0.15700000000000003,4.320000000000022
2023-12-11,200.05,209.44,11.207,-2.869999999999976,-0.7800000000000011,0.012000000000000455,3.6499999999999773
2023-12-10,202.92,210.22,11.195,-2.480000000000018,-1.9799999999999898,-0.13599999999999923,4.460000000000008
2023-12-09,205.4,212.2,11.331,-3.609999999999985,-1.8500000000000227,-0.28500000000000014,5.460000000000008
2023-12-08,209.01,214.05,11.616,-2.8300000000000125,-1.75,-0.3260000000000005,4.5800000000000125
2023-12-07,211.84,215.8,11.942,-2.9000000000000057,-1.6599999999999966,-0.3330000000000002,4.560000000000002
2023-12-06,214.74,217.46,12.275,-2.7299999999999898,-1.7299999999999898,-0.16799999999999926,4.4599999999999795
2023-12-05,217.47,219.19,12.443,-2.3799999999999955,-1.789999999999992,0.08499999999999908,4.1699999999999875
2023-12-04,219.85,220.98,12.358,-2.0500000000000114,-1.6500000000000057,0.1509999999999998,3.700000000000017
2023-12-03,221.9,222.63,12.207,-2.469999999999999,-1.4300000000000068,0.29900000000000126,3.9000000000000057
2023-12-02,224.37,224.06,11.908,-2.180000000000007,-0.46000000000000796,0.38899999999999935,2.640000000000015
2023-12-01,226.55,224.52,11.519,-2.4099999999999966,-1.4299999999999784,0.5410000000000004,3.839999999999975
2023-11-30,228.96,225.95,10.978,-2.4799999999999898,-1.3800000000000239,0.7140000000000004,3.8600000000000136
2023-11-29,231.44,227.33,10.264,-2.4399999999999977,-1.4499999999999886,0.4599999999999991,3.8899999999999864
2023-11-28,233.88,228.78,9.804,-2.780000000000001,-0.710000000000008,0.30799999999999983,3.490000000000009
2023-11-27,236.66,229.49,9.496,-1.6400000000000148,-0.7699999999999818,0.10299999999999976,2.4099999999999966
2023-11-26,238.3,230.26,9.393,-1.579999999999984,-0.45000000000001705,-0.18099999999999916,2.030000000000001
2023-11-25,239.88,230.71,9.574,-0.8000000000000114,-0.4199999999999875,-0.32399999999999984,1.2199999999999989
2023-11-24,240.68,231.13,9.898,-1.329999999999984,-1.2199999999999989,-0.40300000000000047,2.549999999999983
2023-11-23,242.01,232.35,10.301,-1.8700000000000045,-1.0600000000000023,-0.43900000000000006,2.930000000000007
2023-11-22,243.88,233.41,10.74,-0.6299999999999955,-0.75,-0.347999999999999,1.3799999999999955
2023-11-21,244.51,234.16,11.088,-0.5300000000000011,-1.9000000000000057,-0.10600000000000165,2.430000000000007
2023-11-20,245.04,236.06,11.194,-1.3300000000000125,-1.8700000000000045,-0.03599999999999959,3.200000000000017
2023-11-19,246.37,237.93,11.23,-1.9300000000000068,-2.5999999999999943,0.15500000000000114,4.530000000000001
