Date,Delta_T,moon_deldot,sun_deldot,zero
1972-05-23,-3.5889,0.0286939,0.3146413,0
1972-05-24,-3.4589,0.0168781,0.3095978,0
1972-05-25,-3.2849,0.0059809,0.3047461,0
1972-05-26,-3.0989,-0.0036835,0.3000352,0
1972-05-27,-2.919,-0.0120537,0.2954097,0
1972-05-28,-2.7669,-0.0192729,0.290809,0
1972-05-29,-2.6519,-0.0256173,0.2861668,0
1972-05-30,-2.6119,-0.0314058,0.2814111,0
1972-05-31,-2.6529,-0.0368993,0.2764652,0
1972-06-01,-2.7419,-0.0422026,0.2712495,0
1972-06-02,-2.905,-0.0471851,0.2656829,0
1972-06-03,-3.1029,-0.0514352,0.2596848,0
1972-06-04,-3.2919,-0.0542648,0.2531778,0
1972-06-05,-3.4509,-0.0547792,0.2460925,0
1972-06-06,-3.5189,-0.0520217,0.2383748,0
1972-06-07,-3.482,-0.0451945,0.2299965,0
1972-06-08,-3.3279,-0.0339285,0.2209687,0
1972-06-09,-3.0759,-0.0185341,0.2113541,0
1972-06-10,-2.8219,-0.0001299,0.201272,0
1972-06-11,-2.5999,0.0194517,0.1908902,0
1972-06-12,-2.5089,0.038,0.1804033,0
1972-06-13,-2.525,0.0534024,0.1700019,0
1972-06-14,-2.6479,0.0640773,0.1598453,0
1972-06-15,-2.8079,0.0692171,0.1500456,0
1972-06-16,-2.9449,0.0687996,0.1406665,0
1972-06-17,-3.0009,0.0634341,0.1317314,0
1972-06-18,-3.014,0.0541397,0.1232363,0
1972-06-19,-2.9389,0.0421316,0.1151615,0
1972-06-20,-2.8219,0.0286529,0.1074797,0
1972-06-21,-2.6749,0.0148546,0.1001607,0
1972-06-22,-2.489,0.0017159,0.093173,0
1972-06-23,-2.3119,-0.0100078,0.0864826,0
1972-06-24,-2.1669,-0.0198161,0.0800508,0
1972-06-25,-2.0679,-0.0274763,0.0738317,0
1972-06-26,-2.0319,-0.0330124,0.0677688,0
1972-06-27,-2.078,-0.036666,0.0617942,0
1972-06-28,-2.1959,-0.0388257,0.0558274,0
1972-06-29,-2.3729,-0.0399274,0.0497778,0
1972-06-30,-2.5869,-0.0403409,0.0435471,0
1972-07-01,-2.8109,-0.0402613,0.0370343,0
1972-07-02,-2.995,-0.0396321,0.0301415,0
1972-07-03,-3.0909,-0.0381254,0.0227793,0
1972-07-04,-3.0829,-0.0351932,0.0148741,0
1972-07-05,-2.9829,-0.0301974,0.0063764,0
1972-07-06,-2.78,-0.0226034,-0.0027307,0
1972-07-07,-2.5529,-0.0122008,-0.0124222,0
1972-07-08,-2.3359,0.0007113,-0.0226258,0
1972-07-09,-2.2159,0.0152479,-0.0332227,0
1972-07-10,-2.2,0.0300273,-0.0440579,0
1972-07-11,-2.2869,0.0434172,-0.0549596,0
1972-07-12,-2.3879,0.0538651,-0.0657617,0
1972-07-13,-2.5439,0.0601961,-0.0763237,0
1972-07-14,-2.6589,0.0617905,-0.086541,0
1972-07-15,-2.709,0.0586164,-0.0963466,0
1972-07-16,-2.6759,0.0511476,-0.1057051,0
1972-07-17,-2.5959,0.0402273,-0.1146039,0
1972-07-18,-2.4599,0.026922,-0.1230443,0
1972-07-19,-2.321,0.0123945,-0.131035,0
1972-07-20,-2.1569,-0.0021974,-0.1385879,0
1972-07-21,-2.0189,-0.0157827,-0.1457174,0
1972-07-22,-1.9429,-0.0274456,-0.1524412,0
1972-07-23,-1.915,-0.0364875,-0.1587839,0
1972-07-24,-1.9589,-0.0424807,-0.1647808,0
1972-07-25,-2.0889,-0.0453089,-0.170483,0
1972-07-26,-2.2889,-0.0451762,-0.1759608,0
1972-07-27,-2.536,-0.0425731,-0.1813048,0
1972-07-28,-2.7959,-0.0381876,-0.1866244,0
1972-07-29,-3.0199,-0.0327695,-0.1920409,0
1972-07-30,-3.175,-0.0269737,-0.1976788,0
1972-07-31,-3.2079,-0.0212246,-0.2036549,0
1972-08-01,-3.1289,-0.0156405,-0.2100675,0
1972-08-02,-2.9569,-0.0100464,-0.2169879,0
1972-08-03,-2.748,-0.0040743,-0.2244532,0
1972-08-04,-2.5509,0.002671,-0.2324622,0
1972-08-05,-2.4389,0.0104261,-0.2409738,0
1972-08-06,-2.3909,0.019115,-0.2499079,0
1972-08-07,-2.463,0.0282767,-0.2591517,0
1972-08-08,-2.5959,0.0371033,-0.2685697,0
1972-08-09,-2.7769,0.0445802,-0.2780176,0
1972-08-10,-2.917,0.0496867,-0.2873575,0
1972-08-11,-2.9669,0.0515936,-0.2964692,0
1972-08-12,-2.9639,0.0498065,-0.3052576,0
1972-08-13,-2.8579,0.0442291,-0.3136541,0
1972-08-14,-2.725,0.0351545,-0.321613,0
1972-08-15,-2.5259,0.0232077,-0.3291064,0
1972-08-16,-2.3349,0.0092656,-0.3361177,0
1972-08-17,-2.147,-0.005626,-0.3426369,0
1972-08-18,-2.0149,-0.0203322,-0.3486572,0
1972-08-19,-1.9249,-0.0337066,-0.3541744,0
1972-08-20,-1.9219,-0.0446719,-0.359188,0
1972-08-21,-1.995,-0.0523123,-0.3637056,0
1972-08-22,-2.1419,-0.0559763,-0.3677488,0
1972-08-23,-2.3619,-0.0553812,-0.3713605,0
1972-08-24,-2.614,-0.0506957,-0.3746117,0
1972-08-25,-2.8629,-0.042562,-0.3776045,0
1972-08-26,-3.0339,-0.0320259,-0.3804693,0
1972-08-27,-3.123,-0.0203621,-0.3833547,0
1972-08-28,-3.0689,-0.0088295,-0.3864115,0
1972-08-29,-2.8979,0.0015742,-0.3897748,0
1972-08-30,-2.6909,0.0102784,-0.3935482,0
1972-08-31,-2.478,0.0171776,-0.3977952,0
1972-09-01,-2.3539,0.0225426,-0.4025365,0
1972-09-02,-2.3269,0.0268467,-0.4077527,0
1972-09-03,-2.397,0.0305662,-0.4133901,0
1972-09-04,-2.5709,0.0340098,-0.4193671,0
1972-09-05,-2.7709,0.0372147,-0.4255826,0
1972-09-06,-2.985,0.0399272,-0.4319234,0
1972-09-07,-3.1319,0.0416622,-0.4382731,0
1972-09-08,-3.2059,0.0418201,-0.44452,0
1972-09-09,-3.216,0.0398241,-0.4505633,0
1972-09-10,-3.1369,0.0352477,-0.456318,0
1972-09-11,-3.0079,0.0279049,-0.4617155,0
1972-09-12,-2.859,0.0178978,-0.4667029,0
1972-09-13,-2.7339,0.0056229,-0.4712395,0
1972-09-14,-2.6179,-0.0082503,-0.4752935,0
1972-09-15,-2.559,-0.02282,-0.4788377,0
1972-09-16,-2.5509,-0.0370047,-0.4818478,0
1972-09-17,-2.6339,-0.0496091,-0.4843008,0
1972-09-18,-2.761,-0.0594113,-0.4861773,0
1972-09-19,-2.9829,-0.0652798,-0.4874659,0
1972-09-20,-3.2359,-0.0663273,-0.4881715,0
1972-09-21,-3.511,-0.0620921,-0.4883254,0
1972-09-22,-3.7409,-0.0527118,-0.4879961,0
1972-09-23,-3.8779,-0.0390233,-0.4872953,0
1972-09-24,-3.893,-0.0225131,-0.4863748,0
1972-09-25,-3.7509,-0.0050789,-0.4854112,0
1972-09-26,-3.5399,0.0113527,-0.4845818,0
1972-09-27,-3.287,0.0252252,-0.4840379,0
1972-09-28,-3.1009,0.0356235,-0.4838861,0
1972-09-29,-3.0219,0.0423387,-0.4841814,0
1972-09-30,-3.05,0.0457452,-0.4849303,0
1972-10-01,-3.1719,0.0465697,-0.4861012,0
1972-10-02,-3.332,0.0456425,-0.4876354,0
1972-10-03,-3.5069,0.0436915,-0.4894568,0
1972-10-04,-3.6469,0.0412083,-0.4914793,0
1972-10-05,-3.705,0.038393,-0.4936116,0
1972-10-06,-3.7019,0.0351677,-0.4957618,0
1972-10-07,-3.6179,0.0312458,-0.4978406,0
1972-10-08,-3.479,0.0262334,-0.499764,0
1972-10-09,-3.3199,0.0197439,-0.5014561,0
1972-10-10,-3.1429,0.0115031,-0.50285,0
1972-10-11,-2.978,0.001433,-0.5038875,0
1972-10-12,-2.8639,-0.0102932,-0.5045184,0
1972-10-13,-2.817,-0.0232252,-0.5046979,0
1972-10-14,-2.8169,-0.0366347,-0.5043844,0
1972-10-15,-2.8909,-0.0495387,-0.5035378,0
1972-10-16,-3.033,-0.060749,-0.5021182,0
1972-10-17,-3.2139,-0.0689572,-0.5000884,0
1972-10-18,-3.4479,-0.07287,-0.4974186,0
1972-10-19,-3.655,-0.0714065,-0.4940961,0
1972-10-20,-3.8219,-0.0639533,-0.4901388,0
1972-10-21,-3.866,-0.0506281,-0.4856093,0
1972-10-22,-3.7929,-0.0324575,-0.4806245,0
1972-10-23,-3.5809,-0.0113414,-0.4753523,0
1972-10-24,-3.315,0.0102635,-0.4699921,0
1972-10-25,-3.0569,0.029876,-0.4647426,0
1972-10-26,-2.9,0.0455377,-0.4597688,0
1972-10-27,-2.8569,0.0561593,-0.4551806,0
1972-10-28,-2.9349,0.0615735,-0.451029,0
1972-10-29,-3.078,0.0623484,-0.4473148,0
1972-10-30,-3.2079,0.0594907,-0.4440035,0
1972-10-31,-3.336,0.0541532,-0.4410401,0
1972-11-01,-3.3819,0.0474069,-0.4383588,0
1972-11-02,-3.3829,0.0400958,-0.4358893,0
1972-11-03,-3.32,0.0327652,-0.4335602,0
1972-11-04,-3.1969,0.0256508,-0.4312999,0
1972-11-05,-3.046,0.0187161,-0.4290373,0
1972-11-06,-2.8859,0.0117248,-0.4267025,0
1972-11-07,-2.7559,0.0043365,-0.4242275,0
1972-11-08,-2.652,-0.0037871,-0.4215469,0
1972-11-09,-2.5999,-0.0128795,-0.4185988,0
1972-11-10,-2.631,-0.0229811,-0.4153244,0
1972-11-11,-2.7069,-0.0338739,-0.4116676,0
1972-11-12,-2.86,-0.0450432,-0.4075739,0
1972-11-13,-3.0419,-0.055671,-0.4029887,0
1972-11-14,-3.2679,-0.0646666,-0.3978581,0
1972-11-15,-3.507,-0.0707459,-0.3921299,0
1972-11-16,-3.7089,-0.0725771,-0.3857599,0
1972-11-17,-3.836,-0.0690057,-0.3787213,0
1972-11-18,-3.8549,-0.0593546,-0.3710207,0
1972-11-19,-3.755,-0.0437427,-0.3627139,0
1972-11-20,-3.5639,-0.0233026,-0.353917,0
1972-11-21,-3.3519,-0.0001466,-0.3448039,0
1972-11-22,-3.191,0.0230021,-0.3355841,0
1972-11-23,-3.1429,0.0434237,-0.3264667,0
1972-11-24,-3.221,0.0590143,-0.3176248,0
1972-11-25,-3.3759,0.0686527,-0.3091734,0
1972-11-26,-3.572,0.0722315,-0.3011672,0
1972-11-27,-3.7249,0.0704375,-0.293612,0
1972-11-28,-3.7989,0.064432,-0.2864807,0
1972-11-29,-3.79,0.0555502,-0.2797287,0
1972-11-30,-3.7239,0.0450751,-0.2733039,0
1972-12-01,-3.588,0.0340922,-0.2671523,0
1972-12-02,-3.4299,0.0234087,-0.2612197,0
1972-12-03,-3.251,0.0135238,-0.2554517,0
1972-12-04,-3.0569,0.0046358,-0.2497922,0
1972-12-05,-2.913,-0.003318,-0.2441831,0
1972-12-06,-2.8199,-0.0105935,-0.238563,0
1972-12-07,-2.775,-0.0175485,-0.2328677,0
1972-12-08,-2.8079,-0.0245379,-0.2270307,0
1972-12-09,-2.8859,-0.0318048,-0.2209841,0
1972-12-10,-3.012,-0.0393841,-0.2146591,0
1972-12-11,-3.1869,-0.047029,-0.2079871,0
1972-12-12,-3.357,-0.0541742,-0.2008995,0
1972-12-13,-3.5119,-0.0599466,-0.193329,0
1972-12-14,-3.625,-0.0632367,-0.1852126,0
1972-12-15,-3.6419,-0.0628452,-0.1764972,0
1972-12-16,-3.561,-0.0577135,-0.16715,0
